,type,name,folow_to,length_km,area_km²,edge
3603,Озеро,ил.  Хуранга,река  Волга,"1,9",0,Волга
3604,Озеро,ил.  Цаган  Гатлыгал,река  Волга,"1,14",0,Волга
3605,Озеро,ил.  Цаган-Хайчин,река  Волга,"3,76",0,Волга
3606,Озеро,ил.  Цаган-Хак,река  Волга,"3,35",0,Волга
3607,Озеро,ил.  Цасты,река  Волга,"4,15",0,Волга
3608,Озеро,ил.  Цахтын  Цаган,река  Волга,"1,36",0,Волга
3609,Озеро,ил.  Цаца,река  Волга,"1,48",0,Волга
3610,Озеро,ил.  Цупте,река  Волга,"1,5",0,Волга
3611,Озеро,ил.  Цядир,река  Волга,"4,65",0,Волга
3612,Озеро,ил.  Чапчалган,река  Волга,"2,71",0,Волга
3613,Озеро,ил.  Черкасский,река  Волга,"1,8",0,Волга
3614,Озеро,ил.  Чирзульта,река  Волга,"1,21",0,Волга
3615,Озеро,ил.  Чистая  Шайна,река  Волга,"1,47",0,Волга
3616,Озеро,ил.  Чичин,река  Волга,"2,85",0,Волга
3617,Озеро,ил.  Чушай,река  Волга,"1,97",0,Волга
3618,Озеро,ил.  Чушай,река  Волга,"3,34",0,Волга
3619,Озеро,ил.  Шада,река  Волга,"1,2",0,Волга
3620,Озеро,ил.  Шадин-Цека,река  Волга,"1,45",0,Волга
3621,Озеро,ил.  Шар  Яман,река  Волга,"5,9",0,Волга
3622,Озеро,ил.  Шарбюрбинский,река  Волга,"5,2",0,Волга
3623,Озеро,ил.  Шарзинский,река  Волга,"1,9",0,Волга
3624,Озеро,ил.  Шары,река  Волга,"1,16",0,Волга
3625,Озеро,ил.  Шебуча,река  Волга,"1,43",0,Волга
3626,Озеро,ил.  Шеронта,река  Волга,"2,6",0,Волга
3627,Озеро,ил.  Шибулдинский,река  Волга,"1,020",0,Волга
3628,Озеро,ил.  Ширенеута,река  Волга,"3,2",0,Волга
3629,Озеро,ил.  Шорнг,река  Волга,"6,040",0,Волга
3630,Озеро,ил.  Шумулдук,река  Волга,"2,080",0,Волга
3631,Озеро,ил.  Шурали,река  Волга,"1,59",0,Волга
3632,Озеро,ил.  Шушай,река  Волга,"4,5",0,Волга
3633,Озеро,ил.  Ювяль,река  Волга,1,0,Волга
3634,Озеро,ил.  Яман,река  Волга,"1,070",0,Волга
3635,Озеро,ил.  Янвагага,река  Волга,"1,1",0,Волга
3636,Озеро,ил.  Янкок,река  Волга,"2,020",0,Волга
3637,Озеро,ил.  Янкок,река  Волга,"2,75",0,Волга
3638,Озеро,Мусалин  Хак,река  Волга,"1,010",0,Волга
3639,Озеро,Барковское,река  Волга,"0,54",0,Волга
3640,Озеро,без  названия,река  Волга,"0,61",0,Волга
3641,Озеро,Бестолковое,река  Волга,"1,57",0,Волга
3642,Озеро,Большое  Букатино,река  Волга,"0,57",0,Волга
3643,Озеро,Большое  Островное,река  Волга,"1,47",0,Волга
3644,Озеро,Большое  Островное,река  Волга,"1,42",0,Волга
3645,Озеро,Большое  Пастухово,река  Волга,"0,56",0,Волга
3646,Озеро,Боровое,река  Волга,"1,14",0,Волга
3647,Озеро,Грязное,река  Волга,"0,69",0,Волга
3648,Озеро,Затон,река  Волга,"0,61",0,Волга
3649,Озеро,Линьково,река  Волга,"1,65",0,Волга
3650,Озеро,Липовое,река  Волга,"0,65",0,Волга
3651,Озеро,Липовое,река  Волга,"0,68",0,Волга
3652,Озеро,Орлово,река  Волга,"1,32",0,Волга
3653,Озеро,Островное,река  Волга,"0,53",0,Волга
3654,Озеро,Песчаное,река  Волга,"0,56",0,Волга
3655,Озеро,Телик,река  Волга,"0,9",0,Волга
3656,Озеро,Черный  Затон,река  Волга,"0,57",0,Волга
3657,Озеро,Шелехметское,река  Волга,"0,96",0,Волга
3658,Озеро,Мастрюково,река  Волга,"0,57",0,Волга
3659,Озеро,Старый  Мокрец,река  Волга,"0,51",0,Волга
3660,Река,Воложка,водохранилище  вдхр  Волгоградское,13,0,вдхр  Волгоградское
3661,Река,СОК,река  Волга,363,11700,Волга
3662,Река,Курумоч,река  СОК,21,352,СОК
3663,Река,КОНДУРЧА,река  СОК,294,4360,СОК
3664,Река,ХОРОШЕНЬКАЯ,река  СОК,25,168,СОК
3665,Река,ТРОСТЯНКА,река  СОК,26,105,СОК
3666,Река,"без  названия,  у  с.  Большой  Раковки",река  СОК,11,91,СОК
3667,Река,ЧЕРНОВКА,река  СОК,37,329,СОК
3668,Река,Каргалка,река  СОК,13,"76,4",СОК
3669,Река,ОРЛЯНКА,река  СОК,30,258,СОК
3670,Река,Боровка,река  СОК,20,118,СОК
3671,Река,СУРГУТ,река  СОК,97,1450,СОК
3672,Река,Б.СУРГУТ,река  СОК,44,527,СОК
3673,Ручьи,руч.  Каменка,река  СОК,12,"42,5",СОК
3674,Река,Исаклинка,река  СОК,10,"54,6",СОК
3675,Река,ИГАРКА,река  СОК,22,169,СОК
3676,Река,БАЙТЕРМИШКА,река  СОК,16,"99,9",СОК
3677,Река,Телегас,река  СОК,20,142,СОК
3678,Река,Сосновка,река  СОК,15,"93,2",СОК
3679,Река,УКС,река  СОК,31,148,СОК
3680,Река,КАМЫШЛА,река  СОК,20,"80,8",СОК
3681,Река,БАЙТУГАН,река  СОК,20,"99,4",СОК
3682,Река,Окана,река  СОК,14,50,СОК
3683,Река,Малый  Сок,река  СОК,17,126,СОК
3684,Река,Камышла,река  СОК,18,"97,6",СОК
3685,Река,Черемшанка,река  СОК,10,"46,6",СОК
3686,Река,Сипса,река  Ошма,16,0,Ошма
3687,Река,Ванюшка,река  Анзирка,14,0,Анзирка
3688,Река,Юкачи,река  Шия,24,0,Шия
3689,Река,Искубаш,река  Шия,23,0,Шия
3690,Река,Уча,река  Шия,24,0,Шия
3691,Река,Баш-Арбаш,река  Шия,22,0,Шия
3692,Река,без  названия,река  Шия,13,0,Шия
3693,Река,без  названия,река  Шия,11,0,Шия
3694,Река,Куклюк,река  Умяк,11,0,Умяк
3695,Река,Юраш,река  Юрашка,12,0,Юрашка
3696,Река,Юрашка,река  Адамка,22,0,Адамка
3697,Река,Кузебайка,река  Адамка,14,0,Адамка
3698,Река,Адамка,река  Умяк,30,345,Умяк
3699,Река,Бемыжка,река  Умяк,25,120,Умяк
3700,Река,Яга,река  Умяк,23,0,Умяк
3701,Река,Арвазь,река  Ишек,11,0,Ишек
3702,Река,Ишек,река  Умяк,22,0,Умяк
3703,Река,Большой  Сырян,река  Умяк,15,0,Умяк
3704,Река,Сарамачка,река  Лубянка,16,0,Лубянка
3705,Река,Каркаусь  (Аллаук),река  Аллаук,13,0,Аллаук
3706,Река,Тыжма,река  Люга,25,165,Люга
3707,Река,Синярка,река  Люга,14,0,Люга
3708,Река,без  названия,река  Люга,11,0,Люга
3709,Река,без  названия,река  Люга,10,0,Люга
3710,Река,без  названия,река  Ошторма,18,0,Ошторма
3711,Река,Нурминка,река  Ошторма,20,111,Ошторма
3712,Река,Кня,река  Ошторма,13,0,Ошторма
3713,Река,Якшурка,река  Казанка,13,0,Казанка
3714,Река,Омгинка,река  Казанка,18,0,Казанка
3715,Река,Муркозька,река  Казанка,14,0,Казанка
3716,Река,Косинка,река  Казанка,12,0,Казанка
3717,Река,Малая  Китячка,река  Бурец  (Бура),18,0,Бурец  (Бура)
3718,Река,Большая  Китячка,река  Бурец  (Бура),20,0,Бурец  (Бура)
3719,Река,без  названия,река  Бурец  (Бура),18,0,Бурец  (Бура)
3720,Река,без  названия,река  Бурец  (Бура),11,0,Бурец  (Бура)
3721,Река,без  названия,река  Бурец  (Бура),15,0,Бурец  (Бура)
3722,Река,Староречье  Агельдино,река  Староречье  Агельдино,26,"83,6",Староречье  Агельдино
3723,Река,Малая  Шабанка,река  Шабанка  (Большая  Шабинка),20,0,Шабанка  (Большая  Шабинка)
3724,Река,Шабанка  (Большая  Шабинка),река  Староречье  Агельдино,46,400,Староречье  Агельдино
3725,Река,Ирюк,река  Шошма,22,0,Шошма
3726,Река,Кугуборка  (Чутайка),река  Шошма,46,329,Шошма
3727,Река,Арборка,река  Шошма,34,186,Шошма
3728,Река,Ташлык  (Кушкетка),река  Шошма,27,174,Шошма
3729,Река,без  названия,река  Шошма,16,0,Шошма
3730,Река,без  названия,река  Шошма,12,0,Шошма
3731,Река,без  названия,река  Шошма,18,0,Шошма
3732,Река,без  названия,река  Сарда,13,0,Сарда
3733,Река,Сарда,река  Шошма,21,0,Шошма
3734,Река,без  названия,река  Шошма,13,0,Шошма
3735,Река,без  названия,река  Мелетка,11,0,Мелетка
3736,Река,Роек,река  Рожка  (Затон  Курья),25,"94,8",Рожка  (Затон  Курья)
3737,Река,без  названия,река  Аджимка,14,0,Аджимка
3738,Река,Шечка,река  Воложка  (Ройка),16,0,Воложка  (Ройка)
3739,Река,без  названия,река  Воложка  (Ройка),11,0,Воложка  (Ройка)
3740,Река,Ундула  (Мундала),река  Кильмезь,14,"57,8",Кильмезь
3741,Река,Саринки,река  Кульма,10,"37,6",Кульма
3742,Река,без  названия,река  Кульма,18,"72,3",Кульма
3743,Река,Кульма,река  Кильмезь,60,354,Кильмезь
3744,Река,Юг,река  Кильмезь,15,"84,2",Кильмезь
3745,Река,Большой  Юг  (Юг),река  Кильмезь,22,114,Кильмезь
3746,Река,Ломик,река  Лобань,26,144,Лобань
3747,Река,Лумпунчик,река  Лобань,24,"97,5",Лобань
3748,Река,без  названия,река  Лобань,11,"35,3",Лобань
3749,Река,Вахма,река  Лобань,19,131,Лобань
3750,Река,Изерь,река  Лобань,15,115,Лобань
3751,Река,Селитра,река  Керзя,31,167,Керзя
3752,Река,без  названия,река  Керзя,12,"34,4",Керзя
3753,Река,Керзя,река  Лобань,75,498,Лобань
3754,Река,Осиновка,река  Лобань,14,"68,8",Лобань
3755,Река,Сердик,река  Лобань,23,"66,3",Лобань
3756,Река,Плоская,река  Лобань,13,"24,7",Лобань
3757,Река,без  названия,река  Еранка,12,"40,2",Еранка
3758,Река,Быковка,река  Еранка,14,"36,4",Еранка
3759,Река,Еранка,река  Лобань,42,216,Лобань
3760,Река,Андык,река  Лобань,23,"70,6",Лобань
3761,Река,Козлянка,река  Лобань,14,"47,3",Лобань
3762,Река,Черная  Лобань,река  Лобань,33,186,Лобань
3763,Река,Ворсик,река  Белая  Лобань,17,"97,4",Белая  Лобань
3764,Река,Белая  Лобань,река  Лобань,38,265,Лобань
3765,Река,Лобань,река  Кильмезь,169,2810,Кильмезь
3766,Река,Ужим,река  Зеквай,26,125,Зеквай
3767,Река,Зеквай,река  Вала,31,343,Вала
3768,Река,Кунжек,река  Вала,15,"64,1",Вала
3769,Река,Сурек,река  Вала,18,"87,4",Вала
3770,Река,без  названия,река  Идык,12,0,Идык
3771,Река,без  названия,река  Идык,10,0,Идык
3772,Река,без  названия,река  Идык,10,0,Идык
3773,Река,Идык,река  Вала,38,316,Вала
3774,Река,без  названия,река  Вала,12,"28,5",Вала
3775,Река,Пужма  (Пижил),река  Вала,36,194,Вала
3776,Река,Инга,река  Вала,42,206,Вала
3777,Река,без  названия,река  Каож,12,"36,2",Каож
3778,Река,без  названия,река  Каож,11,0,Каож
3779,Река,Каож,река  Вала,51,303,Вала
3780,Река,Седмурча,река  Вала,38,268,Вала
3781,Река,Тушма,река  Кылт  (Килт),22,87,Кылт  (Килт)
3782,Река,Лыштанка,река  Кылт  (Килт),18,"85,3",Кылт  (Килт)
3783,Река,Пинжанка,река  Кылт  (Килт),14,"63,3",Кылт  (Килт)
3784,Река,без  названия,река  Кылт  (Килт),10,0,Кылт  (Килт)
3785,Река,Кылт  (Килт),река  Вала,52,525,Вала
3786,Река,Пурга,река  Ува,25,125,Ува
3787,Река,Кильцемка,река  Ува,22,82,Ува
3788,Река,без  названия,река  Ува,11,44,Ува
3789,Река,Пуровайка  (Пуштовайка),река  Ува,16,100,Ува
3790,Река,Папинка,река  Ува,11,"26,8",Ува
3791,Река,без  названия,река  Ува,11,"33,4",Ува
3792,Река,без  названия,река  Ува,11,"35,3",Ува
3793,Река,без  названия,река  Ува,12,"41,7",Ува
3794,Река,Мултанка,река  Ува,17,62,Ува
3795,Река,Увайка,река  Ува,15,"69,6",Ува
3796,Река,Ува,река  Вала,112,1230,Вала
3797,Река,без  названия,река  Вала,16,"63,6",Вала
3798,Река,без  названия,река  Вала,10,"42,9",Вала
3799,Река,Кельвай,река  Вала,20,"93,6",Вала
3800,Река,без  названия,река  Вала,19,"93,3",Вала
3801,Река,без  названия,река  Нылга,20,"87,4",Нылга
3802,Река,без  названия,река  Нылга,12,0,Нылга
3803,Река,без  названия,река  Сия,11,0,Сия
3804,Река,Пойвай,река  Сия,15,"58,1",Сия
3805,Река,без  названия,река  Нылга,27,294,Нылга
3806,Река,без  названия,река  Нылга,15,129,Нылга
3807,Река,без  названия,река  Нылга,12,"35,7",Нылга
3808,Река,Мушковай,река  Нылга,14,"88,2",Нылга
3809,Река,Нылга,река  Вала,80,1230,Вала
3810,Река,без  названия,река  Вала,13,"30,8",Вала
3811,Река,Тлоинка,река  Вала,11,"29,6",Вала
3812,Река,Сюга,река  Вала,30,133,Вала
3813,Река,Сюга,река  Сюга,22,123,Сюга
3814,Река,Сюга,река  Вала,35,273,Вала
3815,Река,без  названия,река  Вала,11,"24,3",Вала
3816,Река,Баринка,река  Пычас,15,"36,8",Пычас
3817,Река,Уленвайка,река  Пычас,13,"62,4",Пычас
3818,Река,Лоллезка,река  Пычас,12,"37,2",Пычас
3819,Река,Пычас,река  Вала,33,302,Вала
3820,Река,Ныша,река  Вала,40,324,Вала
3821,Река,Ключ,река  Вала,13,"52,4",Вала
3822,Река,Вала,река  Кильмезь,196,7360,Кильмезь
3823,Река,без  названия,река  Лумпун,10,"24,5",Лумпун
3824,Река,Лемка,река  Лумпун,14,"51,4",Лумпун
3825,Река,Гуринка,река  Лумпун,13,"33,3",Лумпун
3826,Река,без  названия,река  Лумпун,14,36,Лумпун
3827,Река,Курма,река  Лумпун,12,"48,7",Лумпун
3828,Река,Ирзек,река  Лумпун,27,138,Лумпун
3829,Река,без  названия,река  Лумпун,10,"55,5",Лумпун
3830,Река,Наймушинка,река  Лумпун,16,"41,1",Лумпун
3831,Река,Андык,река  Лумпун,17,"55,9",Лумпун
3832,Река,Сардык,река  Лумпун,28,146,Лумпун
3833,Река,без  названия,река  Яранка,15,"40,5",Яранка
3834,Река,Яранка,река  Лумпун,20,103,Лумпун
3835,Река,без  названия,река  Лумпун,14,0,Лумпун
3836,Река,Пушкец,река  Лумпун,23,112,Лумпун
3837,Река,Лумпун,река  Кильмезь,158,1550,Кильмезь
3838,Река,Сюмсилка,река  Кильмезь,16,"87,6",Кильмезь
3839,Река,без  названия,река  Кильмезь,10,0,Кильмезь
3840,Река,Сюнык,река  Кильмезь,13,"43,2",Кильмезь
3841,Река,без  названия,река  Кильмезь,14,"24,5",Кильмезь
3842,Река,Визирма,река  Кильмезь,20,102,Кильмезь
3843,Река,без  названия,река  Кильмезь,11,"61,3",Кильмезь
3844,Река,Вьюк,река  Кырчма,14,"58,5",Кырчма
3845,Река,Пыжья,река  Кырчма,12,"45,9",Кырчма
3846,Река,Покса,река  Кырчма,11,44,Кырчма
3847,Река,Жинья,река  Кырчма,17,"74,4",Кырчма
3848,Река,Кырчма,река  Кильмезь,52,138,Кильмезь
3849,Река,Сардык,река  Кильмезь,20,"96,3",Кильмезь
3850,Река,Средний  Сардык,река  Кильмезь,12,"31,6",Кильмезь
3851,Река,Нузык,река  Кильмезь,21,148,Кильмезь
3852,Река,Сынык,река  Кильмезь,10,0,Кильмезь
3853,Река,Большой  Сардык,река  Кильмезь,19,"72,2",Кильмезь
3854,Река,Вью,река  Турне,23,152,Турне
3855,Река,Турне,река  Уть,29,363,Уть
3856,Река,Сунда,река  Чушкец,15,"69,1",Чушкец
3857,Река,Чушкец,река  Уть,20,154,Уть
3858,Река,Полом,река  Уть,14,93,Уть
3859,Река,без  названия,река  Уть,10,0,Уть
3860,Река,Уть,река  Кильмезь,107,1190,Кильмезь
3861,Река,без  названия,река  Арлеть,11,"33,4",Арлеть
3862,Река,без  названия,река  Кыркызья,22,0,Кыркызья
3863,Река,Кыркызья,река  Арлеть,24,196,Арлеть
3864,Река,Арлеть,река  Кильмезь,51,497,Кильмезь
3865,Река,Малый  Кутык,река  Кутык  (Большой  Кутык),12,"33,5",Кутык  (Большой  Кутык)
3866,Река,Кутык  (Большой  Кутык),река  Кильмезь,26,152,Кильмезь
3867,Река,Мулык,река  Кильмезь,19,"88,1",Кильмезь
3868,Река,Лаптевка,река  Пестерь,19,"97,5",Пестерь
3869,Река,Коанка,река  Пестерь,12,"48,9",Пестерь
3870,Река,Пестерь,река  Кильмезь,28,253,Кильмезь
3871,Река,Юшур,река  Кильмезь,15,"55,7",Кильмезь
3872,Река,без  названия,река  Кильмезь,10,49,Кильмезь
3873,Река,без  названия,река  Кильмезь,10,0,Кильмезь
3874,Река,без  названия,река  Шурминка,10,0,Шурминка
3875,Река,Большая  Максанка,река  Максанка,13,0,Максанка
3876,Река,Уксюм,река  Сырчан,12,0,Сырчан
3877,Река,Пилюска,река  Сырчан,11,0,Сырчан
3878,Река,Сесек,река  Сырчан,10,0,Сырчан
3879,Ручьи,руч.  Черный  Ключ  (руч.  Алмаса),река  Сырчан,15,0,Сырчан
3880,Река,Сырчан,река  Немда,33,254,Немда
3881,Ручьи,руч.  Сормук,река  Сормук,10,0,Сормук
3882,Река,Сормук,река  Немда,18,0,Немда
3883,Река,Жук,река  Немда,11,0,Немда
3884,Река,Налезь,река  Немда,10,0,Немда
3885,Река,Нозик,река  Немда,10,0,Немда
3886,Река,Индик,река  Немда,21,0,Немда
3887,Река,Хмелевка,река  Немда,18,0,Немда
3888,Река,Ашланка,река  Уржумка,24,0,Уржумка
3889,Река,Савинка  (Ашланка),река  Уржумка,12,0,Уржумка
3890,Река,Пилинка,река  Уржумка,19,0,Уржумка
3891,Река,Ирека,река  Уржумка,21,0,Уржумка
3892,Река,Ошланка,река  Уржумка,11,0,Уржумка
3893,Река,без  названия,река  Ноля,16,0,Ноля
3894,Река,без  названия,река  Ноля,14,0,Ноля
3895,Река,без  названия,река  Ноля,10,0,Ноля
3896,Река,без  названия,река  Ноля,10,0,Ноля
3897,Река,Ноля,река  Уржумка,43,449,Уржумка
3898,Река,Шумба,река  Уржумка,14,0,Уржумка
3899,Река,Масаринка,река  Уржумка,22,0,Уржумка
3900,Река,Шоба,река  Уржумка,14,0,Уржумка
3901,Река,без  названия,водоток  проток  Аркульский  (Клюка),14,0,проток  Аркульский  (Клюка)
3902,Река,Чамка,река  Буй  (Буг),10,0,Буй  (Буг)
3903,Река,Мазарка,река  Буй  (Буг),24,0,Буй  (Буг)
3904,Река,без  названия,река  Буй  (Буг),13,0,Буй  (Буг)
3905,Река,Сабака,река  Буй  (Буг),24,0,Буй  (Буг)
3906,Река,Сереньга,река  Буй  (Буг),11,0,Буй  (Буг)
3907,Ручьи,руч.  Луксун,река  Воя,11,0,Воя
3908,Река,Ноля,река  Воя,19,0,Воя
3909,Ручьи,руч.  Рыбас,река  Воя,10,0,Воя
3910,Река,без  названия,река  Прямик,12,0,Прямик
3911,Река,Прямик,река  Кырчанка,21,0,Кырчанка
3912,Река,Кырчанка,река  Воя,28,237,Воя
3913,Река,Вома,река  Воя,35,240,Воя
3914,Река,Нерсма,река  Суна,18,0,Суна
3915,Река,Верхосунье  (Шиниха),река  Суна,24,0,Суна
3916,Река,без  названия,река  Суна,12,0,Суна
3917,Река,Суна,река  Суна,28,283,Суна
3918,Река,без  названия,река  Суна,15,0,Суна
3919,Река,Суна,река  Воя,55,728,Воя
3920,Река,Чернушка,река  Опан,10,0,Опан
3921,Река,Опан,река  Воя,33,155,Воя
3922,Река,без  названия,река  Воя,10,0,Воя
3923,Река,без  названия,река  Курчум,14,0,Курчум
3924,Река,без  названия,река  Курчум,17,0,Курчум
3925,Река,Курчум,река  Воя,33,275,Воя
3926,Река,без  названия,река  Ошлань,16,0,Ошлань
3927,Река,без  названия,река  Ошлань,13,0,Ошлань
3928,Река,Ошлань,река  Воя,40,271,Воя
3929,Река,Сердемка,река  Байса,14,0,Байса
3930,Река,Ноля,река  Байса,10,0,Байса
3931,Река,Правая  Водовойка,река  Водовойка  (Левая  Водовойка),12,0,Водовойка  (Левая  Водовойка)
3932,Река,Водовойка  (Левая  Водовойка),река  Байса,19,0,Байса
3933,Река,Паравойка,река  Байса,14,0,Байса
3934,Река,Черная,река  Байса,10,0,Байса
3935,Река,без  названия,река  Лудяна,11,0,Лудяна
3936,Река,без  названия,река  Лудяна,11,0,Лудяна
3937,Река,без  названия,река  Сардан,12,0,Сардан
3938,Река,Сардан,река  Лудяна,19,0,Лудяна
3939,Река,Тулубайка,река  Лебедка,12,0,Лебедка
3940,Река,Карна,река  Лебедка,20,0,Лебедка
3941,Река,Сухая  Кременка,река  Кременка,11,0,Кременка
3942,Река,Малая  Ситьма,река  Большая  Ситьма,16,215,Большая  Ситьма
3943,Река,без  названия,река  Ишетка  (Ошеть),12,0,Ишетка  (Ошеть)
3944,Река,Шербак,река  Ишетка  (Ошеть),19,0,Ишетка  (Ошеть)
3945,Река,Какс  (Кака),река  Ишеть  (Ошеть),17,0,Ишеть  (Ошеть)
3946,Река,без  названия,река  Ишеть  (Ошеть),18,0,Ишеть  (Ошеть)
3947,Река,Ишеть  (Ошеть),река  Суводь,32,220,Суводь
3948,Река,Щука,река  Суводь,14,0,Суводь
3949,Река,Кремянка,река  Суводь,11,0,Суводь
3950,Река,без  названия,река  Суводь,12,0,Суводь
3951,Река,Немдеж,река  Немда,46,301,Немда
3952,Река,Гремечка,река  Немда,24,0,Немда
3953,Ручьи,руч.  Шишурка,река  Немда,12,0,Немда
3954,Река,Шиньга,река  Немда,10,0,Немда
3955,Река,Сурья,река  Немда,12,0,Немда
3956,Река,Коньга  (Большая  Коньга),река  Немда,24,0,Немда
3957,Река,Кокша,река  Лаж,12,0,Лаж
3958,Река,Чукша,река  Лаж,19,0,Лаж
3959,Река,Пузя,река  Лаж,12,0,Лаж
3960,Река,без  названия,река  Она,12,0,Она
3961,Река,Она,река  Лаж,22,0,Лаж
3962,Река,Шолонерка,река  Лаж,10,0,Лаж
3963,Река,без  названия,река  Лаж,11,0,Лаж
3964,Река,Сердяжка,река  Лаж,20,0,Лаж
3965,Река,без  названия,река  Лаж,14,0,Лаж
3966,Река,Нолька,река  Лаж,13,0,Лаж
3967,Река,Лаж,река  Немда,73,1140,Немда
3968,Река,Курба,река  Немда,19,0,Немда
3969,Река,Кичминка,река  Немда,24,0,Немда
3970,Река,Орья,река  Немда,10,0,Немда
3971,Река,Орья,река  Толмань,10,0,Толмань
3972,Река,Каванарка,река  Толмань,15,0,Толмань
3973,Река,Толмань,река  Немда,43,373,Немда
3974,Река,Чуча,река  Немда,11,0,Немда
3975,Река,Ексей,река  Шукша,14,0,Шукша
3976,Река,Шуй,река  Шукша,18,0,Шукша
3977,Река,Шукша,река  Немда,23,0,Немда
3978,Река,Руйка,река  Немда,15,0,Немда
3979,Река,без  названия,река  Немда,12,0,Немда
3980,Река,Немда,река  Пижма,162,3780,Пижма
3981,Река,Пижанка,река  Пижма,10,0,Пижма
3982,Река,без  названия,река  Пижма,12,0,Пижма
3983,Река,Кушмара,река  Пижма,18,0,Пижма
3984,Река,Малый  Кермеж,река  Иж,15,0,Иж
3985,Река,Кермеж,река  Иж,15,0,Иж
3986,Река,Тумшинка,река  Шуда,11,0,Шуда
3987,Река,Ирка,река  Шуда,13,0,Шуда
3988,Река,без  названия,река  Шуда,13,0,Шуда
3989,Река,Шуда,река  Иж,42,368,Иж
3990,Река,Пижанка,река  Иж,34,222,Иж
3991,Река,без  названия,река  Иж,10,0,Иж
3992,Река,без  названия,река  Иж,12,0,Иж
3993,Река,Иж,река  Пижма,80,1150,Пижма
3994,Река,Змеевка,река  Пижма,16,0,Пижма
3995,Река,Арбаж  (Большой  Арбаж),река  Шуван  (Шуан),15,0,Шуван  (Шуан)
3996,Река,Шуван  (Шуан),река  Пижма,37,282,Пижма
3997,Река,Немдеж,река  Ярань,64,468,Ярань
3998,Река,Люмжа,река  Ярань,13,0,Ярань
3999,Река,Руя,река  Ярань,10,0,Ярань
4000,Река,Лесная  Шошма,река  Ярань,20,0,Ярань
4001,Река,Комужа,река  Ярань,12,0,Ярань
4002,Река,Арбаж,река  Шошма,12,0,Шошма
4003,Река,Шошма,река  Ярань,24,0,Ярань
4004,Река,без  названия,река  Ярань,13,0,Ярань
4005,Река,Шунда,река  Уртьма,10,0,Уртьма
4006,Река,Уртьма,река  Ярань,30,200,Ярань
4007,Река,Ламба,река  Ярань,14,0,Ярань
4008,Река,Ламба,река  Ярань,18,0,Ярань
4009,Река,Люпянка,река  Ярань,19,0,Ярань
4010,Река,без  названия,река  Лум,11,0,Лум
4011,Река,Лум,река  Ярань,36,268,Ярань
4012,Река,Ярань,река  Пижма,151,2220,Пижма
4013,Река,Емоснерка,река  Тужа,12,0,Тужа
4014,Река,Ян,река  Тужа,11,0,Тужа
4015,Река,Тужа,река  Пижма,35,301,Пижма
4016,Река,Аржамакша,река  Пижма,17,0,Пижма
4017,Река,Тула,река  Пижма,18,0,Пижма
4018,Река,Идоморка,река  Пижма,25,162,Пижма
4019,Река,Шембеть,река  Боковая,41,197,Боковая
4020,Река,Большой  Яман,река  Боковая,11,0,Боковая
4021,Река,Березовка,река  Боковая,11,0,Боковая
4022,Река,Козловаж,река  Боковая,"9,2","69,4",Боковая
4023,Река,Боковая,река  Пижма,77,740,Пижма
4024,Река,Шудумка,река  Пижма,15,0,Пижма
4025,Река,Каменка,река  Пижма,14,0,Пижма
4026,Река,Кардополовка,река  Ир,12,0,Ир
4027,Река,Тихонка,река  Ир,11,0,Ир
4028,Река,Ир,река  Пижма,30,174,Пижма
4029,Река,Нужа,река  Ошма,11,0,Ошма
4030,Река,Ламба,река  Ошма,13,0,Ошма
4031,Река,Арша,река  Ошма,16,0,Ошма
4032,Река,Шукшум,река  Ошма,27,154,Ошма
4033,Река,Арба,река  Ошма,26,102,Ошма
4034,Река,Куба,река  Ошма,20,0,Ошма
4035,Река,Ошма,река  Пижма,74,943,Пижма
4036,Река,Зарянка,река  Юма,11,0,Юма
4037,Река,Долгая,река  Юма,19,203,Юма
4038,Река,Метелка,река  Ацвеж,17,0,Ацвеж
4039,Река,Кликвяж,река  Ацвеж,16,0,Ацвеж
4040,Река,Березовка,река  Ацвеж,12,0,Ацвеж
4041,Река,Большой  Ацвеж,река  Ацвеж,10,0,Ацвеж
4042,Река,Ацвеж,река  Юма,48,377,Юма
4043,Река,Белая,река  Юма,14,"67,8",Юма
4044,Река,Семеновка,река  Юма,11,0,Юма
4045,Река,Свеча,река  Юма,16,0,Юма
4046,Река,Каменка,река  Юмка,10,0,Юмка
4047,Река,Юмка,река  Юма,17,0,Юма
4048,Река,Юма,река  Пижма,68,1410,Пижма
4049,Река,Нукша,река  Унжа,30,128,Унжа
4050,Река,Унжа,река  Пижма,41,310,Пижма
4051,Река,Азваж,река  Рубка,16,0,Рубка
4052,Река,Рубка,река  Сюзюм,30,238,Сюзюм
4053,Река,Сюзюм,река  Пижма,71,731,Пижма
4054,Река,Пуетка,река  Пижма,15,0,Пижма
4055,Река,Юрика,река  Пижма,15,0,Пижма
4056,Река,Лукшанка,река  Пижма,13,"81,6",Пижма
4057,Река,Альца,река  Пижма,10,"69,6",Пижма
4058,Река,Шлянда,река  Малый  Вахтан,16,0,Малый  Вахтан
4059,Река,Тургуш,река  Малый  Вахтан,14,0,Малый  Вахтан
4060,Река,Малый  Вахтан,река  Пижма,21,0,Пижма
4061,Река,Шайга,река  Пижма,14,0,Пижма
4062,Река,Пинал,река  Пижма,17,0,Пижма
