date,level
2018-09-16,234.0
2018-09-17,236.0
2018-09-18,238.0
2018-09-19,240.0
2018-09-20,240.0
2018-09-21,241.0
2018-09-22,241.0
2018-09-23,242.0
2018-09-24,242.0
2018-09-25,242.0
2018-09-27,244.0
2018-09-28,243.0
2018-09-29,243.0
2018-09-30,277.0
2018-10-02,243.0
2018-10-03,242.0
2018-10-04,242.0
2018-10-05,242.0
2018-10-06,242.0
2018-10-07,242.0
2018-10-08,240.0
2018-10-09,238.0
2018-10-10,238.0
2018-10-11,238.0
2018-10-12,240.0
2018-10-13,240.0
2018-10-14,240.0
2018-10-15,238.0
2018-10-16,236.0
2018-10-17,234.0
2018-10-18,234.0
2018-10-19,234.0
2018-10-20,234.0
2018-10-21,234.0
2018-10-22,234.0
2018-10-23,234.0
2018-10-24,234.0
2018-10-25,234.0
2018-10-26,234.0
2018-10-27,234.0
2018-10-28,232.0
2018-10-29,232.0
2018-10-30,232.0
2018-10-31,232.0
2018-11-01,232.0
2018-11-02,232.0
2018-11-03,232.0
2018-11-04,232.0
2018-11-05,231.0
2018-11-06,231.0
2018-11-07,231.0
2018-11-08,231.0
2018-11-09,231.0
2018-11-10,231.0
2018-11-11,231.0
2018-11-12,229.0
2018-11-13,229.0
2018-11-14,234.0
2018-11-15,238.0
2018-11-16,240.0
2018-11-17,241.0
2018-11-18,242.0
2018-11-19,244.0
2018-11-20,245.0
2018-11-21,243.0
2018-11-22,242.0
2018-11-23,242.0
2018-11-24,242.0
2018-11-25,242.0
2018-11-26,242.0
2018-11-27,242.0
2018-11-28,242.0
2018-11-29,243.0
2018-11-30,243.0
2018-12-01,243.0
2018-12-02,244.0
2018-12-03,252.0
2018-12-04,258.0
2018-12-05,259.0
2018-12-06,259.0
2018-12-07,260.0
2018-12-08,260.0
2018-12-09,256.0
2018-12-10,254.0
2018-12-11,252.0
2018-12-12,248.0
2018-12-13,245.0
2018-12-14,243.0
2018-12-15,243.0
2018-12-16,243.0
2019-03-15,286.0
2019-03-16,286.0
2019-03-17,286.0
2019-03-18,272.0
2019-03-19,260.0
2019-03-20,249.0
2019-03-21,246.0
2019-03-22,246.0
2019-03-23,246.0
2019-03-24,246.0
2019-03-25,246.0
2019-03-26,246.0
2019-03-27,244.0
2019-03-28,244.0
2019-03-29,244.0
2019-03-30,244.0
2019-03-31,244.0
2019-04-01,248.0
2019-04-02,258.0
2019-04-03,262.0
2019-04-04,256.0
2019-04-05,254.0
2019-04-06,254.0
2019-04-07,256.0
2019-04-08,257.0
2019-04-09,257.0
2019-04-10,254.0
2019-04-11,254.0
2019-04-12,254.0
2019-04-13,254.0
2019-04-14,254.0
2019-04-15,256.0
2019-04-16,256.0
